title,Poster,year,rating,genres,director,actors,plot,age rating
Epic Movie,https://m.media-amazon.com/images/M/MV5BMTA3NDM5ODU3NzleQTJeQWpwZ15BbWU3MDgyMjgyNDE@._V1_SX300.jpg,2007,2.4,"Adventure, Comedy, Fantasy","Jason Friedberg, Aaron Seltzer","Kal Penn, Jennifer Coolidge, Fred Willard","A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.",PG-13
Jackass: The Movie,https://m.media-amazon.com/images/M/MV5BOTgwMmU0YzktOGNhNi00MDcyLTg1OGEtZGQwM2RlMTAyYzhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2002,6.6,"Documentary, Action, Comedy",Jeff Tremaine,"Johnny Knoxville, Bam Margera, Chris Pontius",Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,R
The Angry Birds Movie,https://m.media-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@._V1_SX300.jpg,2016,6.3,"Animation, Action, Adventure","Clay Kaytis, Fergal Reilly","Jason Sudeikis, Josh Gad, Danny McBride","When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",PG
The SpongeBob SquarePants Movie,https://m.media-amazon.com/images/M/MV5BZjM5YjI0NmQtOTk4OS00NTNiLThkNzQtNTZlNGE4Y2VmNmU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2004,7.1,"Animation, Adventure, Comedy","Stephen Hillenburg, Mark Osborne","Tom Kenny, Jeffrey Tambor, Rodger Bumpass",SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,PG
A Silent Voice: The Movie,https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,2016,8.1,"Animation, Drama",Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Not Rated
Disaster Movie,https://m.media-amazon.com/images/M/MV5BMTIzMDQyNDgwNl5BMl5BanBnXkFtZTcwMDA0MTc3MQ@@._V1_SX300.jpg,2008,1.9,"Comedy, Sci-Fi","Jason Friedberg, Aaron Seltzer","Carmen Electra, Vanessa Lachey, Nicole Parker","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",PG-13
Scary Movie V,https://m.media-amazon.com/images/M/MV5BMTc5OTIxMjQ4NF5BMl5BanBnXkFtZTcwOTAyNDcyOQ@@._V1_SX300.jpg,2013,3.5,"Comedy, Horror","Malcolm D. Lee, David Zucker","Simon Rex, Ashley Tisdale, Charlie Sheen","A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.",PG-13
The Lego Movie 2: The Second Part,https://m.media-amazon.com/images/M/MV5BMTkyOTkwNDc1N15BMl5BanBnXkFtZTgwNzkyMzk3NjM@._V1_SX300.jpg,2019,6.6,"Animation, Action, Adventure",Mike Mitchell,"Chris Pratt, Elizabeth Banks, Will Arnett","It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",PG
Superhero Movie,https://m.media-amazon.com/images/M/MV5BMTc0Njc1MTU5Nl5BMl5BanBnXkFtZTcwMjA4NDE2MQ@@._V1_SX300.jpg,2008,4.6,"Action, Comedy, Sci-Fi",Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton","Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.",PG-13
The Emoji Movie,https://m.media-amazon.com/images/M/MV5BMTkzMzM3OTM2Ml5BMl5BanBnXkFtZTgwMDM0NDU3MjI@._V1_SX300.jpg,2017,3.4,"Animation, Adventure, Comedy",Tony Leondis,"T.J. Miller, James Corden, Anna Faris","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",PG
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,https://m.media-amazon.com/images/M/MV5BODI2NjdlYWItMTE1ZC00YzI2LTlhZGQtNzE3NzA4MWM0ODYzXkEyXkFqcGdeQXVyNjU1OTg4OTM@._V1_SX300.jpg,2020,8.2,"Animation, Action, Adventure",Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",TV-14
Date Movie,https://m.media-amazon.com/images/M/MV5BYjA0NGUyMDQtY2RlNy00Y2YzLWIyODItNWE1ZTM1NTM3MWM1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,2006,2.8,"Comedy, Romance","Aaron Seltzer, Jason Friedberg","Alyson Hannigan, Adam Campbell, Fred Willard","Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",PG-13
A Goofy Movie,https://m.media-amazon.com/images/M/MV5BZDczYjU4MDMtY2RjMy00Y2UyLWE2MmMtZjliYWUwNzQ3YjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1995,6.9,"Animation, Adventure, Comedy",Kevin Lima,"Bill Farmer, Jason Marsden, Jim Cummings","When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",G
The SpongeBob Movie: Sponge Out of Water,https://m.media-amazon.com/images/M/MV5BMGEzNGRjYzYtNmRjNy00ZTI0LTgwOTYtOTViMGM0MWUwMzQ5XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg,2015,6.0,"Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell","Tom Kenny, Antonio Banderas, Bill Fagerbakke","When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",PG
Cowboy Bebop: The Movie,https://m.media-amazon.com/images/M/MV5BNTE5YTAyZDctNjFhYi00YmJhLTg4ZGUtNDk1OTE0ZTY4NTYwL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,2001,7.8,"Animation, Action, Crime","Shin'ichirô Watanabe, Mary Elizabeth McGlynn, Tensai Okamura","Beau Billingslea, Melissa Fahn, Nicholas Guest","A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit.",TV-14
The Peanuts Movie,https://m.media-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_SX300.jpg,2015,7.0,"Animation, Adventure, Comedy",Steve Martino,"Noah Schnapp, Bill Melendez, Hadley Belle Miller","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",G
Pokémon: The First Movie - Mewtwo Strikes Back,https://m.media-amazon.com/images/M/MV5BZGM3MjQ3NTQtNzRiZi00MDUzLWFjYjEtZWJjMjUwYzExYjRiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1998,6.2,"Animation, Action, Adventure",Kunihiko Yuyama,"Veronica Taylor, Rachael Lillis, Eric Stuart","Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.",G
Hannah Montana: The Movie,https://m.media-amazon.com/images/M/MV5BMTkxNjUxODY3NF5BMl5BanBnXkFtZTcwMjQyMzMzMg@@._V1_SX300.jpg,2009,4.6,"Comedy, Drama, Family",Peter Chelsom,"Miley Cyrus, Emily Osment, Billy Ray Cyrus","As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",G
Shaun the Sheep Movie,https://m.media-amazon.com/images/M/MV5BOTc1ODY5MTQ1Nl5BMl5BanBnXkFtZTgwMDM5ODI1NjE@._V1_SX300.jpg,2015,7.3,"Animation, Adventure, Comedy","Mark Burton, Richard Starzak","Justin Fletcher, John Sparkes, Omid Djalili","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flo...",PG
The Lizzie McGuire Movie,https://m.media-amazon.com/images/M/MV5BMTMzNDg1NDc0NF5BMl5BanBnXkFtZTYwOTY2OTU3._V1_SX300.jpg,2003,5.5,"Adventure, Comedy, Family",Jim Fall,"Hilary Duff, Adam Lamberg, Clayton Snyder","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",PG
The Transformers: The Movie,https://m.media-amazon.com/images/M/MV5BZGM1MGY4OTYtOGZkOC00NjYyLTk3OTMtODUyZDdhYWQ3NGFjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,1986,7.2,"Animation, Action, Adventure",Nelson Shin,"Orson Welles, Robert Stack, Leonard Nimoy","The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",PG
Twilight Zone: The Movie,https://m.media-amazon.com/images/M/MV5BYjQ2NzgzYjEtMzAxNy00MzhkLWE5ZTUtZDA1ODY3MTBjOTRiXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_SX300.jpg,1983,6.4,"Horror, Sci-Fi","Joe Dante, John Landis, George Miller","Dan Aykroyd, Albert Brooks, Vic Morrow","Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.",PG
The Muppet Movie,https://m.media-amazon.com/images/M/MV5BMGQ0OGM5YjItYzYyMi00NmVmLWI3ODMtMTY2NGRkZmI5MWU2XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg,1979,7.6,"Adventure, Comedy, Family",James Frawley,"Jim Henson, Frank Oz, Jerry Nelson","Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",G
Between Two Ferns: The Movie,https://m.media-amazon.com/images/M/MV5BYzgyNzUyZjAtNDRiZS00MjQwLTgzMzQtZThhY2Y3YjFmYTc1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2019,6.1,Comedy,Scott Aukerman,"Zach Galifianakis, Matthew McConaughey, Rekha Shankar",Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,TV-MA
Batman: The Movie,https://m.media-amazon.com/images/M/MV5BMmM1OGIzM2UtNThhZS00ZGNlLWI4NzEtZjlhOTNhNmYxZGQ0XkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_SX300.jpg,1966,6.5,"Action, Adventure, Comedy",Leslie H. Martinson,"Adam West, Burt Ward, Lee Meriwether",The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,PG
The Angry Birds Movie 2,https://m.media-amazon.com/images/M/MV5BNTk0NWZjZTktNWNlZC00YTY2LTkyZjItNDRiZmFhZWI5M2IwXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,2019,6.4,"Animation, Action, Adventure","Thurop Van Orman, John Rice","Jason Sudeikis, Josh Gad, Leslie Jones",The flightless birds and scheming green pigs take their feud to the next level.,PG
Captain Underpants: The First Epic Movie,https://m.media-amazon.com/images/M/MV5BMmQwMzdiOGMtNGZiYS00YjgyLWJlMjItYzQ3Nzc2OGIwYjQwXkEyXkFqcGdeQXVyMzQ1MTM3NjY@._V1_SX300.jpg,2017,6.2,"Animation, Action, Adventure",David Soren,"Kevin Hart, Thomas Middleditch, Ed Helms","Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",PG
The Lego Ninjago Movie,https://m.media-amazon.com/images/M/MV5BNDI3MDljMTQtYzBiYS00NDk2LTlhYzUtYmM0NWIyMmZkMDZkXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,2017,6.0,"Animation, Action, Adventure","Charlie Bean, Paul Fisher, Bob Logan","Jackie Chan, Dave Franco, Fred Armisen","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",PG
DuckTales the Movie: Treasure of the Lost Lamp,https://m.media-amazon.com/images/M/MV5BMGY1NjdiMmItMmE5MS00NjllLWJmM2ItMmU1ZTRjMWYyZjc4XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,1990,6.8,"Animation, Adventure, Comedy",Bob Hathcock,"Alan Young, Christopher Lloyd, Terence McGovern","Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.",G
Man with a Movie Camera,https://m.media-amazon.com/images/M/MV5BYTc3NGVlN2QtYWJlZi00YjhjLThiZjctZDA1MmE1NGI4ZmE4XkEyXkFqcGdeQXVyODQyNDU4OTk@._V1_SX300.jpg,1929,8.4,"Documentary, Music",Dziga Vertov,"Mikhail Kaufman, Elizaveta Svilova","A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",Not Rated
Deadwood: The Movie,https://m.media-amazon.com/images/M/MV5BM2Y1OGQ4ZjEtZWUzMi00MzZmLTk3MmEtMThiNjIwNzg4MjRkXkEyXkFqcGdeQXVyMTE5NDkxMA@@._V1_SX300.jpg,2019,7.4,"Drama, Western",Daniel Minahan,"Timothy Olyphant, Ian McShane, Molly Parker","As the residents of Deadwood gather to commemorate Dakota's statehood in 1889, saloon owner Al Swearengen and Marshal Seth Bullock clash with Senator George Hearst.",TV-MA
The Brady Bunch Movie,https://m.media-amazon.com/images/M/MV5BNmVmYzkzY2YtZWNkNC00YzVhLTk4MzYtZWMxZWQ0YzBhZmYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1995,6.2,Comedy,Betty Thomas,"Shelley Long, Gary Cole, Christine Taylor","The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",PG-13
Pokémon the Movie 2000,https://m.media-amazon.com/images/M/MV5BNzE1NjBiODAtNDVhNS00ZTI1LTg4ZjUtZTk3OWVhODljMjNjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,1999,6.1,"Animation, Action, Adventure",Kunihiko Yuyama,"Veronica Taylor, Rica Matsumoto, Ikue Ôtani","Ash Ketchum must gather the three spheres of fire, ice and lightning in order to restore balance to the Orange Islands.",G
Indie Game: The Movie,https://m.media-amazon.com/images/M/MV5BMjA5NTUzMjQ1MV5BMl5BanBnXkFtZTcwMzc1MzQ4Nw@@._V1_SX300.jpg,2012,7.6,"Documentary, Drama","Lisanne Pajot, James Swirsky","Jonathan Blow, Brandon Boyer, Renaud Bédard","A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.",Not Rated
The SpongeBob Movie: Sponge on the Run,https://m.media-amazon.com/images/M/MV5BYjlhOGVjOGYtMjZjOS00MzUxLThlZmUtMzE0OTZlMGM4ZTc3XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg,2020,5.9,"Animation, Adventure, Comedy",Tim Hill,"Tim Hill, Clancy Brown, Bill Fagerbakke","After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.",PG
The Bob's Burgers Movie,https://m.media-amazon.com/images/M/MV5BYzFhNDNkY2UtYjc3ZS00NzVkLTlhNzEtYmZiZGMzYmRjMjVhXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SX300.jpg,2022,6.9,"Animation, Adventure, Comedy","Loren Bouchard, Bernard Derriman","H. Jon Benjamin, Kristen Schaal, Dan Mintz","When a sinkhole in front of Bob's Burgers threatens the Belchers' plans for a successful summer, Bob and Linda try to keep their business going, while the kids attempt to save the restaurant by solving a mystery.",PG-13
The Rugrats Movie,https://m.media-amazon.com/images/M/MV5BZjNiMWE1M2ItMTdlNi00NmZiLWEwYzctODJiMjU1MmY0MTlmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1998,5.9,"Animation, Adventure, Comedy","Igor Kovalyov, Norton Virgien","Elizabeth Daily, Christine Cavanaugh, Kath Soucie",The babies gets lost in the forest after Tommy Pickles gets a new baby brother.,G
Wizards of Waverly Place: The Movie,https://m.media-amazon.com/images/M/MV5BZDVmMjFjZTEtMjc3NC00YTNmLWEwN2EtYzA2MGY3NDJlOTYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_SX300.jpg,2009,6.2,"Action, Adventure, Comedy",Lev L. Spiro,"Selena Gomez, David Henrie, Jake T. Austin",A young wizard conjures a spell that puts her family in jeopardy.,TV-G
The Tigger Movie,https://m.media-amazon.com/images/M/MV5BMTE5NDIyODU4M15BMl5BanBnXkFtZTYwODA5MzY2._V1_SX300.jpg,2000,6.3,"Animation, Adventure, Comedy",Jun Falkenstein,"Jim Cummings, Nikita Hopkins, Ken Sansom",Tigger goes looking through the hundred-acre-wood to find his family.,G
The Kentucky Fried Movie,https://m.media-amazon.com/images/M/MV5BOGRjZTJiMjYtNjkyZS00NTgwLWI3ODAtMDRlODdkMjQ2YjY3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1977,6.4,Comedy,John Landis,"Evan C. Kim, Bong Soo Han, Bill Bixby",The daily programming of a fictional local TV channel presented as a series of highly irreverent skits.,R
Tales from the Darkside: The Movie,https://m.media-amazon.com/images/M/MV5BODI4ZTI1ZjMtYmE5MC00NTM5LTgwMDgtNWI1ZTI1MDYyOGYyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,1990,6.2,"Comedy, Fantasy, Horror",John Harrison,"Debbie Harry, Matthew Lawrence, Christian Slater","To stall a witch plotting to eat him, a boy reads her horror tales dealing with a collegian's resurrection of a mummy, a murderous cat, and an artist's pact with a gargoyle.",R
American Movie,https://m.media-amazon.com/images/M/MV5BMjMxMDFhYzQtZDZmZS00ZDBjLWIzY2QtNDBiMDQ5YjBlNTk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1999,7.8,"Documentary, Comedy",Chris Smith,"Mark Borchardt, Mike Schank, Tom Schimmels",Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.,R
Mystery Science Theater 3000: The Movie,https://m.media-amazon.com/images/M/MV5BYzNmN2UzNTAtNmZkMS00MmI3LThhNzEtNjI1YjJlN2JiZjU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1996,7.2,"Comedy, Drama, Fantasy",Jim Mallon,"Trace Beaulieu, Michael J. Nelson, Jim Mallon",Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).,PG-13
Silent Movie,https://m.media-amazon.com/images/M/MV5BZWFkMmJhODItMDA2MC00NDFmLTllNzItYzE1YWMzYjVmYjFiXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,1976,6.7,Comedy,Mel Brooks,"Mel Brooks, Marty Feldman, Dom DeLuise",A film director and his strange friends struggle to produce the first major silent feature film in forty years.,Passed
The Last: Naruto the Movie,https://m.media-amazon.com/images/M/MV5BMjk1NzA4Njg4Ml5BMl5BanBnXkFtZTgwMDgxODQ5MzE@._V1_SX300.jpg,2014,7.6,"Animation, Action, Adventure",Tsuneo Kobayashi,"Junko Takeuchi, Nana Mizuki, Jun Fukuyama","Hinata Hyuga's younger sister has been kidnapped, so Naruto must do what he can to save her.",TV-14
The Onion Movie,https://m.media-amazon.com/images/M/MV5BNDdkMDUxMmUtNWQ1Yi00OWY3LWI2ZDktOTBmNzVkMTAwODM5XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,2008,6.2,Comedy,"Tom Kuntz, Mike Maguire","Len Cariou, Sarah McElligott, Amir Talai",Satirical interpretations of world events and curious human behavior.,Not Rated
The Greatest Movie Ever Sold,https://m.media-amazon.com/images/M/MV5BMTM5NzQxOTQwNV5BMl5BanBnXkFtZTcwNDAwODM2NA@@._V1_SX300.jpg,2011,6.6,"Documentary, Comedy",Morgan Spurlock,"J.J. Abrams, Peter Berg, Paul Brennan","A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.",PG-13
A Shaun the Sheep Movie: Farmageddon,https://m.media-amazon.com/images/M/MV5BNTdjZjBkMDMtODBlNi00N2E0LWE1OGItOTgxODNmMDkzNGJmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,2019,6.8,"Animation, Adventure, Comedy","Will Becher, Richard Phelan","Justin Fletcher, John Sparkes, Amalia Vitale","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",G
Pokémon 3 the Movie: Spell of the Unown,https://m.media-amazon.com/images/M/MV5BMTk0NzM3MDY1OV5BMl5BanBnXkFtZTYwNTkwODc5._V1_SX300.jpg,2000,5.8,"Animation, Action, Adventure",Kunihiko Yuyama,"Veronica Taylor, Eric Stuart, Rica Matsumoto","In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.",G
Santa Claus: The Movie,https://m.media-amazon.com/images/M/MV5BZDc1OGVkMmQtYTU0NC00ZTc4LWIyNjItM2IzYzcwNTA1ZmJmXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg,1985,6.3,"Adventure, Family, Fantasy",Jeannot Szwarc,"Dudley Moore, John Lithgow, David Huddleston",The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,PG
Cheech and Chong's Next Movie,https://m.media-amazon.com/images/M/MV5BNDc5ZWE2ZTMtMzFhNy00NDEyLWEyYjEtNmEyZDUzYmY3OWIyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,1980,6.0,"Comedy, Crime, Sci-Fi",Tommy Chong,"Cheech Marin, Tommy Chong, Evelyn Guerrero","Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch.",R
